# brew formula	Nixpkgs attribute
act	act
agent-browser	agent-browser
arp-scan	arp-scan
autoconf	autoconf
automake	automake
autossh	autossh
bat	bat
byobu	byobu
cask	emacs.pkgs.cask
chezmoi	chezmoi
cloc	cloc
cloudflared	cloudflared
curl	curl
e2b	dotfiles.e2b
emacs	emacs
magika	dotfiles.magika-cli
ffmpeg	ffmpeg
fzf	fzf
gawk	gawk
gcc	gcc
gemini-cli	gemini-cli
gh	gh
ghq	ghq
git	git
git-lfs	git-lfs
git-secrets	git-secrets
glances	glances
gnu-sed	gnused
gnupg	gnupg
gnuplot	gnuplot
googleworkspace-cli	gws
gnutls	gnutls
graphviz	graphviz
harfbuzz	harfbuzz
hashcat	hashcat
htop	htop
icu4c@78	icu
k6	k6
kubectl	kubectl
kustomize	kustomize
libass	libass
libmicrohttpd	libmicrohttpd
librist	librist
libtool	libtool
llvm	llvm
mactop	dotfiles.mactop
marp-cli	marp-cli
mecab	mecab
mecab-ipadic	mecab
mise	dotfiles.mise
mosh	mosh
neovim	neovim
newt	newt
nkf	nkf
nushell	nushell
oath-toolkit	oath-toolkit
openblas	openblas
openssl@3	openssl
ossp-uuid	libossp_uuid
pandoc	pandoc
pango	pango
parallel	parallel
pkgconf	pkgconf
poppler	poppler
qt	qt6.qtbase
readline	readline
redis	redis
ripgrep	ripgrep
sl	sl
sqlite	sqlite
stern	stern
tesseract	tesseract
texlive	texlive.combined.scheme-full
tmux	tmux
tree	tree
unbound	unbound
util-linux	util-linux
watch	watch
wget	wget
wireshark	wireshark-cli
yt-dlp	yt-dlp
z	dotfiles.z
zellij	zellij
zlib	zlib
zsh-completions	zsh-completions
jakehilborn/jakehilborn/displayplacer	dotfiles.displayplacer
